Username,Post_ID,Date_of_Post,Followers,Following,Post_Count,Post_Type,Likes,Shares,Comments
Rohan,R001,2024-12-25,745,412,1,static,156,23,45
Rohan,R002,2024-12-25,780,494,2,carousel,234,45,67
Rohan,R003,2024-12-26,950,531,3,reel,567,89,123
Rohan,R004,2024-12-26,965,532,4,static,187,34,56
Rohan,R005,2024-12-27,1200,916,5,reel,678,156,98
Rohan,R006,2024-12-27,1250,920,6,carousel,345,78,92
Rohan,R007,2024-12-28,1500,925,7,reel,723,167,134
Preeti,P001,2024-12-28,943,392,1,carousel,345,67,89
Preeti,P002,2024-12-28,1150,449,2,reel,789,234,167
Preeti,P003,2024-12-29,1170,786,3,static,234,45,78
Preeti,P004,2024-12-29,1400,455,4,reel,890,345,234
Preeti,P005,2024-12-29,1450,582,5,carousel,456,89,120
Preeti,P006,2024-12-30,1700,590,6,reel,867,245,178
Preeti,P007,2024-12-30,1725,595,7,static,234,56,87
Sachin,S001,2024-12-30,515,778,1,static,167,34,67
Sachin,S002,2024-12-30,750,824,2,reel,678,167,145
Sachin,S003,2024-12-30,780,870,3,carousel,345,78,98
Sachin,S004,2024-12-31,1000,803,4,reel,890,267,189
Sachin,S005,2024-12-31,1020,840,5,static,234,56,87
Sachin,S006,2024-12-31,1250,845,6,reel,756,198,156
Sachin,S007,2024-12-31,1280,850,7,carousel,445,89,110
Shraddha,SH001,2024-12-25,703,404,1,reel,567,123,145
Shraddha,SH002,2024-12-26,900,353,2,carousel,345,78,98
Shraddha,SH003,2024-12-27,920,591,3,static,234,45,67
Shraddha,SH004,2024-12-28,1200,788,4,reel,789,234,178
Shraddha,SH005,2024-12-29,1250,616,5,carousel,567,145,123
Shraddha,SH006,2024-12-30,1500,620,6,reel,845,256,189
Shraddha,SH007,2024-12-31,1525,625,7,static,267,67,89
Alia,A001,2024-12-25,509,383,1,static,145,34,56
Alia,A002,2024-12-26,780,663,2,reel,678,167,134
Alia,A003,2024-12-27,820,654,3,carousel,456,89,112
Alia,A004,2024-12-28,1050,894,4,reel,890,267,189
Alia,A005,2024-12-29,1100,666,5,static,234,56,78
Alia,A006,2024-12-30,1350,670,6,reel,767,198,167
Alia,A007,2024-12-31,1380,675,7,carousel,456,98,120
Hitesh,H001,2024-12-25,897,301,1,carousel,345,78,97
Hitesh,H002,2024-12-26,920,443,2,static,167,45,67
Hitesh,H003,2024-12-27,1200,808,3,reel,678,189,145
Hitesh,H004,2024-12-28,1240,585,4,carousel,456,112,98
Hitesh,H005,2024-12-29,1260,1032,5,static,234,67,89
Hitesh,H006,2024-12-30,1500,1040,6,reel,789,234,167
Hitesh,H007,2024-12-31,1530,1045,7,carousel,467,123,134
Ranveer,RV001,2024-12-25,907,396,1,reel,567,145,123
Ranveer,RV002,2024-12-26,1100,779,2,static,234,56,78
Ranveer,RV003,2024-12-27,1120,764,3,carousel,345,89,112
Ranveer,RV004,2024-12-28,1400,1054,4,reel,789,234,167
Ranveer,RV005,2024-12-29,1420,988,5,static,345,78,98
Ranveer,RV006,2024-12-30,1650,990,6,reel,856,245,178
Ranveer,RV007,2024-12-31,1680,995,7,carousel,478,134,145
